ISIN,Security Name,BSE,NSE,Alias name
INE144J01027,20 Microns Limited,533022,20MICRONS,
INE253B01015,21st Century Management Services Limited,526921,21STCENMGM,Twentyfirst Century Management Serv
INF579M01BP5,360 ONE Mutual Fund,544766,,
INE466L01038,360 ONE WAM LIMITED,542772,360ONE,
INE994E01018,3B Blackbio Dx Limited,532067,3BBLACKBIO,
INE0TE101010,3B FILMS LIMITED,544412,,
INE0R7D01018,3C IT Solutions and Telecoms (India) Limited,544190,,
INE748C01038,3i Infotech Limited,532628,3IINFOLTD,
INE470A01017,3M India Limited,523395,3MINDIA,
INE105C01023,3P Land Holdings Limited,516092,3PLAND,
INE618L01018,5Paisa Capital Limited,540776,5PAISA,
INE111B01023,63 moons technologies limited,526881,63MOONS,
INE413X01035,7NR Retail Limited,540615,,
INE454F01010,7SEAS ENTERTAINMENT LIMITED,540874,,
INE08PH01015,A B Cotspin India Limited,544522,ABCOTS,
INE00YB01025,A B Infrabuild Limited,544281,ABINFRA,
INE911Z01025,A-1 LIMITED,542012,,
INE663P01015,A.F. Enterprises Limited,538351,,
INE619I01012,A2Z Infra Engineering Limited,533292,A2ZINFRA,
INE0C5901022,AA Plus Tradelink Limited,543319,,
INE0D0U01013,AAA Technologies Limited,543671,AAATECH,
INE883F01010,Aadhar Housing Finance Limited,544176,AADHARHFC,
INE563D01013,Aadi Industries Ltd,530027,,
INE087Z01024,Aakash Exploration Services Limited,,AAKASH,
INE322R01022,Aanchal Ispat Limited,538812,,
INE512R01010,Aar Shyam India Investment Company Limited,542377,,
INE056J01015,AARCON FACILITIES LIMITED,532024,,
INE198H01019,Aarey Drugs & Pharmaceuticals Limited,524412,AAREYDRUGS,
INE750R01016,Aarnav Fashions Limited,539562,AARNAV,
INE721Z01010,Aaron Industries Limited,,AARON,
INE01C001026,Aartech Solonics Limited,542580,AARTECH,
INE767A01016,Aarti Drugs Limited,524348,AARTIDRUGS,
INE769A01020,Aarti Industries Limited,524208,AARTIIND,
INE0LRU01027,Aarti Pharmalabs Limited,543748,AARTIPHARM,
INE09EO01013,Aarti Surfactants Limited,543210,AARTISURF,
INE754X01016,Aarvi Encon Limited,,AARVI,
INE0EAX01014,Aashka Hospitals Limited,543346,,
INE819K01014,Aastamangalam Finance Limited,511764,,
INE216P01012,Aavas Financiers Limited,541988,AAVAS,
INE777X01017,AAYUSH ART AND BULLION LIMITED,540718,,
INE430R01023,AAYUSH WELLNESS LIMITED,539528,,
INE365O01028,Abans Enterprises Limited,512165,ABANSENT,
INE00ZE01026,Abans Financial Services Limited,543712,AFSL,
INE454E01013,ABATE AS INDUSTRIES LIMITED,531658,,
INE117A01022,ABB India Limited,500002,ABB,
INE358A01014,Abbott India Limited,500488,ABBOTINDIA,
INE125D01011,ABC India Ltd.,520123,,
INE516F01016,Abhinav Capital Services Limited,532057,,
INE211D01027,Abhinav Leasing & Finance Limited,538952,,
INE723C01015,Abhishek Finlease limited,538935,,
INE281P01016,Abhishek Infraventures Limited,539544,,
INE195I01013,Abirami Financial Services (India),511756,,
INE251C01025,ABM International Limited,,ABMINTLLTD,
INE850B01026,ABM Knowledgeware Limited,531161,ABMKNO,
INE0ZDY01011,Abram Food Limited,544422,,
INE15MX01014,ABRIL PAPER TECH LIMITED,544500,,
INE012A01025,ACC Limited,500410,ACC,
INE578B01015,ACCEDERE LIMITED,531533,,
INE258C01038,ACCEL LIMITED,517494,,
INE0POP01017,ACCELERATEBS INDIA LIMITED,543938,,
INE793A01012,Accelya Solutions India Limited,532268,ACCELYA,
INE132201018,ACCORD TRANSFORMER & SWITCHGEAR LIMITED,544710,,
INE1KVQ01019,Accretion Nutraveda Limited,544694,,
INE648Z01023,Accuracy Shipping Limited,544598,ACCURACY,
INE0S9X01011,Ace Alpha Tech Limited,544431,,
INE715F01014,ACE EDUTREND LIMITED,530093,,
INE543V01017,Ace Integrated Solutions Limited,,ACEINTEG,
INE023R01018,ACE MEN ENGG WORKS LIMITED,539661,,
INE849B01010,Ace Software Exports ltd.,531525,,
IN9849B01026,Ace Software Exports ltd.,890230,,
INE0K1401020,Achyut Healthcare Limited,543499,,
INE167B01025,ACI Infocom Ltd.,517356,,
INE326C01017,Acknit Industries Ltd,530043,,
INE636B01011,Acme Resources Limited,539391,,
INE622W01025,Acme Solar Holdings Limited,544283,ACMESOLAR,
INE950D01012,Acrow (India) Ltd.,513149,,
INE366C01021,ACS Technologies Limited,530745,ACSTECH,
INE731H01025,Action Construction Equipment Limited,532762,ACE,Action Construction Equipments Ltd.
INE380Z01015,Active Clothing Co  Limited,541144,,
INE00FF01025,Acutaas Chemicals Limited,543349,ACUTAAS,
INE556D01017,AD-Manum Finance Ltd,511359,,
INE931S01010,Adani Energy Solutions Limited,539254,ADANIENSOL,
INE423A01024,Adani Enterprises Limited,512599,ADANIENT,
INE364U01010,Adani Green Energy Limited,541450,ADANIGREEN,
INE742F01042,Adani Ports and Special Economic Zone Limited,532921,ADANIPORTS,
INE814H01029,Adani Power Limited,533096,ADANIPOWER,
INE399L01023,Adani Total Gas Limited,542066,ATGL,
INE627D01016,Adarsh Plant Project Ltd.,526711,,
INE833A01016,ADC India Communications Limited,523411,,
INE805Q01028,Adcon Capital Services Limited,539506,,
INE0W1601012,ADCOUNTY MEDIA INDIA LIMITED,544435,,
INE01B501018,Add-Shop E-Retail Limited,541865,,
INE757C01021,Addi Industries Ltd.,507852,,
INE0H8J01015,Adeshwar Meditex Limited,543309,,
INE982B01027,ADF Foods Limited,519183,ADFFOODS,
INE586D01014,ADHATA GLOBAL LIMITED,531286,,
INE578L01014,Adhbhut Infrastructure Ltd.,539189,,
INE067R01015,Adhiraj Distributors Limited,780018,,
INE207C01019,Adinath Textiles Ltd.,514113,,
INE0CWK01019,Adishakti Loha and Ispat Limited,543377,,
INE674K01013,Aditya Birla Capital Limited,540691,ABCAPITAL,
INE647O01011,Aditya Birla Fashion and Retail Limited,535755,ABFRL,
INE14LE01019,Aditya Birla Lifestyle Brands Limited,544403,ABLBL,
INE865C01022,Aditya Birla Money Limited,532974,BIRLAMONEY,
INE055A01016,Aditya Birla Real Estate Limited,500040,ABREL,
INE404A01024,Aditya Birla Sun Life AMC Limited,543374,ABSLAMC,
INF209KB10E8,Aditya Birla Sun Life Mutual Fund,540008,,
INF209KB16D7,Aditya Birla Sun Life Mutual Fund,542230,,
INF209KB17D5,Aditya Birla Sun Life Mutual Fund,542863,,
INF209KB11D8,Aditya Birla Sun Life Mutual Fund,543472,,
INF209KB10C2,Aditya Birla Sun Life Mutual Fund,543473,,
INF209KB19D1,Aditya Birla Sun Life Mutual Fund,543474,,
INF209KB15K4,Aditya Birla Sun Life Mutual Fund,543574,,
INF209KB14K7,Aditya Birla Sun Life Mutual Fund,543575,,
INF209KB19Z4,Aditya Birla Sun Life Mutual Fund,544218,,
INF209KC1662,Aditya Birla Sun Life Mutual Fund,544706,,
INF209KC1670,Aditya Birla Sun Life Mutual Fund,544719,,
INE427V01013,ADITYA CONSUMER MARKETING LIMITED,540146,,
INE819V01029,Aditya Infotech Limited,544466,CPPLUS,
INE570B01012,Aditya Ispat Ltd.,513513,,
INE122D01026,Aditya Spinners Ltd.,521141,,
INE679V01027,Aditya Vision Limited,540205,AVL,
INE276T01018,ADLINE CHEM LAB LIMITED,524604,,
INE0XLO01010,ADMACH SYSTEMS LIMITED,544669,,
INE045A01017,Ador Welding Limited,517041,ADOR,
INE737B01033,Adroit Infotech Limited,532172,ADROITINFO,
INE257C01014,ADTECH SYSTEMS LIMITED,544185,,
INE0ALI01010,Advait Energy Transitions Limited,543230,ADVAIT,
INE1B0W01010,Advance Agrolife Limited,544562,ADVANCE,
INE900E01015,Advance Lifestyles Ltd.,521048,,
INE436N01029,ADVANCE METERING TECHNOLOGY LIMITED,534612,,
INE875S01019,Advance Multitech Ltd.,526331,,
